PIXEL,X,Y,id
170121,-79.7238302801,40.6034042699,"170,121"
171121,-79.7120176379,40.6036049337,"171,121"
127122,-80.2313695769,40.5846345224,"127,122"
128122,-80.2195619310,40.5848869277,"128,122"
129122,-80.2077541968,40.5851381293,"129,122"
130122,-80.1959463746,40.5853881273,"130,122"
131122,-80.1841384650,40.5856369216,"131,122"
132122,-80.1723304684,40.5858845123,"132,122"
133122,-80.1605223851,40.5861308992,"133,122"
134122,-80.1487142156,40.5863760824,"134,122"
135122,-80.1369059603,40.5866200619,"135,122"
136122,-80.1250976196,40.5868628377,"136,122"
137122,-80.1132891940,40.5871044097,"137,122"
138122,-80.1014806838,40.5873447779,"138,122"
139122,-80.0896720896,40.5875839424,"139,122"
140122,-80.0778634116,40.5878219031,"140,122"
141122,-80.0660546504,40.5880586600,"141,122"
142122,-80.0542458064,40.5882942131,"142,122"
143122,-80.0424368799,40.5885285623,"143,122"
144122,-80.0306278714,40.5887617077,"144,122"
145122,-80.0188187814,40.5889936493,"145,122"
146122,-80.0070096102,40.5892243870,"146,122"
147122,-79.9952003582,40.5894539208,"147,122"
148122,-79.9833910259,40.5896822508,"148,122"
149122,-79.9715816138,40.5899093768,"149,122"
150122,-79.9597721222,40.5901352989,"150,122"
151122,-79.9479625515,40.5903600171,"151,122"
152122,-79.9361529022,40.5905835314,"152,122"
153122,-79.9243431747,40.5908058417,"153,122"
154122,-79.9125333694,40.5910269481,"154,122"
155122,-79.9007234867,40.5912468505,"155,122"
156122,-79.8889135271,40.5914655489,"156,122"
157122,-79.8771034910,40.5916830433,"157,122"
158122,-79.8652933788,40.5918993338,"158,122"
159122,-79.8534831909,40.5921144202,"159,122"
160122,-79.8416729277,40.5923283026,"160,122"
161122,-79.8298625898,40.5925409809,"161,122"
162122,-79.8180521774,40.5927524552,"162,122"
163122,-79.8062416910,40.5929627254,"163,122"
164122,-79.7944311310,40.5931717916,"164,122"
165122,-79.7826204979,40.5933796536,"165,122"
166122,-79.7708097921,40.5935863116,"166,122"
167122,-79.7589990140,40.5937917655,"167,122"
168122,-79.7471881640,40.5939960153,"168,122"
169122,-79.7353772425,40.5941990609,"169,122"
170122,-79.7235662500,40.5944009024,"170,122"
126123,-80.2428437441,40.5753788481,"126,123"
127123,-80.2310377642,40.5756324236,"127,123"
128123,-80.2192316956,40.5758847957,"128,123"
129123,-80.2074255387,40.5761359642,"129,123"
130123,-80.1956192939,40.5763859292,"130,123"
131123,-80.1838129617,40.5766346908,"131,123"
132123,-80.1720065425,40.5768822488,"132,123"
133123,-80.1602000366,40.5771286032,"133,123"
134123,-80.1483934446,40.5773737542,"134,123"
135123,-80.1365867669,40.5776177015,"135,123"
136123,-80.1247800037,40.5778604453,"136,123"
137123,-80.1129731557,40.5781019855,"137,123"
138123,-80.1011662232,40.5783423220,"138,123"
139123,-80.0893592066,40.5785814550,"139,123"
140123,-80.0775521064,40.5788193843,"140,123"
141123,-80.0657449229,40.5790561100,"141,123"
142123,-80.0539376566,40.5792916321,"142,123"
143123,-80.0421303079,40.5795259504,"143,123"
144123,-80.0303228773,40.5797590651,"144,123"
145123,-80.0185153651,40.5799909761,"145,123"
146123,-80.0067077718,40.5802216834,"146,123"
147123,-79.9949000978,40.5804511870,"147,123"
148123,-79.9830923435,40.5806794868,"148,123"
149123,-79.9712845093,40.5809065829,"149,123"
150123,-79.9594765957,40.5811324753,"150,123"
151123,-79.9476686031,40.5813571639,"151,123"
152123,-79.9358605319,40.5815806487,"152,123"
153123,-79.9240523825,40.5818029298,"153,123"
154123,-79.9122441554,40.5820240070,"154,123"
155123,-79.9004358509,40.5822438804,"155,123"
156123,-79.8886274695,40.5824625500,"156,123"
157123,-79.8768190116,40.5826800158,"157,123"
158123,-79.8650104777,40.5828962777,"158,123"
159123,-79.8532018681,40.5831113358,"159,123"
160123,-79.8413931833,40.5833251899,"160,123"
161123,-79.8295844237,40.5835378403,"161,123"
162123,-79.8177755897,40.5837492867,"162,123"
163123,-79.8059666817,40.5839595292,"163,123"
164123,-79.7941577002,40.5841685678,"164,123"
165123,-79.7823486456,40.5843764025,"165,123"
166123,-79.7705395183,40.5845830332,"166,123"
167123,-79.7587303187,40.5847884600,"167,123"
168123,-79.7469210473,40.5849926829,"168,123"
124124,-80.2661189817,40.5658660706,"124,124"
125124,-80.2543147573,40.5661220193,"125,124"
126124,-80.2425104433,40.5663767647,"126,124"
127124,-80.2307060402,40.5666303067,"127,124"
128124,-80.2189015484,40.5668826455,"128,124"
129124,-80.2070969684,40.5671337810,"129,124"
130124,-80.1952923006,40.5673837131,"130,124"
131124,-80.1834875454,40.5676324418,"131,124"
132124,-80.1716827031,40.5678799672,"132,124"
133124,-80.1598777743,40.5681262892,"133,124"
134124,-80.1480727594,40.5683714078,"134,124"
135124,-80.1362676588,40.5686153230,"135,124"
136124,-80.1244624728,40.5688580348,"136,124"
137124,-80.1126572019,40.5690995432,"137,124"
138124,-80.1008518466,40.5693398481,"138,124"
139124,-80.0890464073,40.5695789495,"139,124"
140124,-80.0772408843,40.5698168475,"140,124"
141124,-80.0654352782,40.5700535420,"141,124"
142124,-80.0536295892,40.5702890330,"142,124"
143124,-80.0418238179,40.5705233205,"143,124"
144124,-80.0300179647,40.5707564044,"144,124"
145124,-80.0182120300,40.5709882849,"145,124"
146124,-80.0064060141,40.5712189618,"146,124"
147124,-79.9945999176,40.5714484351,"147,124"
148124,-79.9827937409,40.5716767049,"148,124"
149124,-79.9709874843,40.5719037711,"149,124"
150124,-79.9591811483,40.5721296336,"150,124"
151124,-79.9473747333,40.5723542926,"151,124"
152124,-79.9355682398,40.5725777480,"152,124"
153124,-79.9237616681,40.5727999997,"153,124"
154124,-79.9119550187,40.5730210478,"154,124"
155124,-79.9001482920,40.5732408923,"155,124"
156124,-79.8883414884,40.5734595331,"156,124"
157124,-79.8765346083,40.5736769702,"157,124"
158124,-79.8647276522,40.5738932036,"158,124"
159124,-79.8529206205,40.5741082333,"159,124"
160124,-79.8411135136,40.5743220593,"160,124"
161124,-79.8293063319,40.5745346816,"161,124"
162124,-79.8174990759,40.5747461002,"162,124"
163124,-79.8056917460,40.5749563150,"163,124"
164124,-79.7938843425,40.5751653260,"164,124"
165124,-79.7820768660,40.5753731333,"165,124"
166124,-79.7702693167,40.5755797368,"166,124"
167124,-79.7584616953,40.5757851366,"167,124"
123125,-80.2775851755,40.5566069185,"123,125"
124125,-80.2657826173,40.5568640366,"124,125"
125125,-80.2539799691,40.5571199515,"125,125"
126125,-80.2421772315,40.5573746633,"126,125"
127125,-80.2303744048,40.5576281720,"127,125"
128125,-80.2185714895,40.5578804775,"128,125"
129125,-80.2067684860,40.5581315799,"129,125"
130125,-80.1949653947,40.5583814790,"130,125"
131125,-80.1831622160,40.5586301750,"131,125"
132125,-80.1713589504,40.5588776678,"132,125"
133125,-80.1595555982,40.5591239573,"133,125"
134125,-80.1477521599,40.5593690436,"134,125"
135125,-80.1359486360,40.5596129267,"135,125"
136125,-80.1241450267,40.5598556065,"136,125"
137125,-80.1123413326,40.5600970830,"137,125"
138125,-80.1005375541,40.5603373562,"138,125"
139125,-80.0887336916,40.5605764262,"139,125"
